OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountDidStaffListen,PercentageDidStaffListen,CountHelpedUnderstandDifficulties,PercentageHelpedUnderstandDifficulties,CountFeelInvolved,PercentageFeelInvolved,CountHelpThatMattered,PercentageHelpThatMattered,CountConfidenceInYourTherapist,PercentageConfidenceInYourTherapist,CountDidYouReceiveTheEmploymentHelpYouRequired,PercentageDidYouReceiveTheEmploymentHelpYouRequired,CountGivenInformationAboutOptions,PercentageGivenInformationAboutOptions,CountPreferTreatments,PercentagePreferTreatments,CountOfferedYourPreference,PercentageOfferedYourPreference,CountDidAssessmentCoverYourEmploymentNeeds,PercentageDidAssessmentCoverYourEmploymentNeeds,CountAssessmentSatisfaction,PercentageAssessmentSatisfaction
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Treatment Questionnaire response,Never,Null,65,1,155,1,110,1,205,2,115,1,465,4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,1810,14,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,10,0,10,0,15,0,10,0,10,0,6270,48,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22385,-,22385,-,22385,-,22385,-,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20190,90,15595,70,14065,63,11405,51,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2155,10,6710,30,980,4,1295,6,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,7105,32,9145,41,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,40,0,80,0,235,1,535,2,Null,Null
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22385,-
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,16925,76
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3820,17
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1090,5
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,395,2
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55,0
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,95,0
