OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,48555,NULL,13.7,5.8,8.5,6.3,0.9
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,480,NULL,14.2,6,9.8,7,0.7
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,23690,NULL,13.1,5.4,8,5.8,0.9
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,1275,NULL,10.7,5.9,5.9,5.5,0.8
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,1810,NULL,15.9,5.1,9.9,6.2,1.2
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,2690,NULL,12.8,6,8.1,6.1,0.8
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,6955,NULL,14.3,5.4,8.6,6.1,1.1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],2220,NULL,13.2,6.2,8.6,6.7,0.8
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,5745,NULL,17.1,5.6,11.8,7.2,1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,2950,NULL,12.8,5.9,7.6,5.9,0.9
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,600,NULL,11.3,5.9,6.4,5.6,0.8
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,140,NULL,14.5,5.2,9.1,6.3,1
